year,response,mean
2003,Current,20.755555555555556
2003,Ever,52.733333333333334
2003,Frequent,9.077777777777778
2004,Current,20.608333333333334
2004,Ever,52.233333333333334
2004,Frequent,9.391666666666667
2005,Current,20.985714285714284
2005,Ever,52.607142857142854
2005,Frequent,9.3
2006,Current,20.854545454545455
2006,Ever,51.24545454545454
2006,Frequent,9.309090909090909
2007,Current,19.345454545454544
2007,Ever,46.208333333333336
2007,Frequent,8.118181818181817
2008,Current,19.61
2008,Ever,47.72
2008,Frequent,8.59
2009,Current,18.321428571428573
2009,Ever,44.95
2009,Frequent,7.392857142857143
2010,Current,18.98
2010,Ever,45.65
2010,Frequent,7.96
2011,Current,17.85
2011,Ever,43.15
2011,Frequent,7.5
2012,Current,14.316666666666666
2012,Ever,39.28333333333333
2012,Frequent,5.516666666666667
2013,Current,12.730769230769232
2013,Ever,37.46923076923077
2013,Frequent,4.615384615384615
2014,Current,11.385714285714286
2014,Ever,32.97142857142857
2014,Frequent,3.9571428571428573
2015,Current,10.3
2015,Ever,32
2015,Frequent,3.2583333333333333
